epoch,loss,cls,l1,giou,mask,val_dice
1,2.1207,0.2484,0.0937,0.7018,0.0,0.5294
2,1.9463,0.2071,0.0827,0.6628,0.0,0.4641
3,1.8955,0.2035,0.0794,0.6476,0.0,0.5734
4,1.865,0.2024,0.0764,0.6402,0.0,0.454
5,1.8086,0.183,0.0735,0.6291,0.0,0.6302
6,1.7903,0.18,0.0724,0.624,0.0,0.6713
7,1.7636,0.167,0.0715,0.6194,0.0,0.4331
8,1.7496,0.1649,0.07,0.6174,0.0,0.6417
9,1.7331,0.1643,0.069,0.6118,0.0,0.6065
10,1.7274,0.1632,0.0694,0.6086,0.0,0.6221
11,1.7126,0.1584,0.0682,0.6065,0.0,0.6557
12,1.6858,0.1508,0.0668,0.6005,0.0,0.601
13,1.6851,0.1544,0.0665,0.599,0.0,0.6607
14,1.6692,0.1473,0.0659,0.5963,0.0,0.6647
15,1.6478,0.1399,0.0651,0.5912,0.0,0.6016
16,1.6456,0.139,0.0649,0.591,0.0,0.6846
17,1.6287,0.1381,0.0635,0.5864,0.0,0.7055
18,1.617,0.133,0.0633,0.5836,0.0,0.646
19,1.6028,0.1284,0.0624,0.5811,0.0,0.6668
20,1.603,0.1302,0.0625,0.5803,0.0,0.7192
21,1.5841,0.1219,0.0613,0.5778,0.0,0.6774
22,1.5761,0.1192,0.0611,0.5757,0.0,0.6562
23,1.5712,0.1193,0.0601,0.5756,0.0,0.5705
24,1.5538,0.1152,0.0595,0.5705,0.0,0.6483
25,1.5492,0.1105,0.0599,0.5696,0.0,0.6547
26,1.5417,0.1101,0.0591,0.568,0.0,0.6997
27,1.5288,0.1034,0.0581,0.5675,0.0,0.742
28,1.5282,0.1034,0.0583,0.5667,0.0,0.7106
29,1.5153,0.1002,0.0578,0.5631,0.0,0.7062
30,1.5021,0.0973,0.0568,0.5605,0.0,0.6607
31,1.4977,0.0943,0.0566,0.5601,0.0,0.6862
32,1.5015,0.0972,0.0569,0.5599,0.0,0.7313
33,1.4842,0.092,0.0556,0.5571,0.0,0.6326
34,1.4808,0.0885,0.0561,0.556,0.0,0.7145
35,1.4718,0.0861,0.0554,0.5545,0.0,0.6999
36,1.4644,0.0837,0.055,0.553,0.0,0.6999
37,1.4632,0.0826,0.055,0.5527,0.0,0.6805
38,1.465,0.083,0.0547,0.5542,0.0,0.6546
39,1.4515,0.0776,0.0541,0.5517,0.0,0.6338
40,1.447,0.078,0.0535,0.5507,0.0,0.724
41,1.436,0.0743,0.0533,0.5476,0.0,0.6562
42,1.425,0.0697,0.0528,0.5456,0.0,0.663
43,1.4219,0.0706,0.0525,0.5444,0.0,0.6901
44,1.4242,0.0702,0.0529,0.5447,0.0,0.59
45,1.4086,0.0649,0.0517,0.5425,0.0,0.656
