epoch,train_loss,test_dice
0,,0.9373
1,0.1015,
2,0.0871,0.9376
3,0.0827,
4,0.0797,0.9452
5,0.0788,
6,0.0783,0.9443
7,0.0748,
8,0.0744,0.9376
9,0.0711,
10,0.0692,0.9389
11,0.0691,
12,0.0683,0.939
13,0.0744,
14,0.0678,0.937
15,0.0649,
16,0.0642,0.9385
17,0.0602,
18,0.0626,0.9387
19,0.058,
20,0.0598,0.9375
21,0.0584,
22,0.0578,0.9404
23,0.0602,
24,0.0549,0.9334
25,0.0547,
26,0.0559,0.9387
27,0.0547,
28,0.0521,0.9368
29,0.0532,
30,0.0525,0.9367
31,0.0507,
32,0.0519,0.9312
33,0.0506,
34,0.0504,0.9337
35,0.0487,
36,0.0493,0.9303
37,0.0483,
38,0.0476,0.9348
39,0.0468,
40,0.0456,0.9302
