epoch,train_loss,val_dice
0,,0.8615
1,0.2432,0.8565
2,0.1857,0.8206
3,0.1809,0.8496
4,0.1728,0.8138
5,0.1539,0.8
6,0.152,0.828
7,0.1398,0.7697
8,0.143,0.8052
9,0.1484,0.808
10,0.1339,0.8012
11,0.1322,0.7903
12,0.1293,0.7922
13,0.1234,0.7913
14,0.1215,0.7552
15,0.1278,0.807
16,0.1287,0.7965
17,0.1324,0.7763
18,0.1285,0.7964
19,0.1111,0.7655
20,0.1102,0.7886
21,0.1111,0.7732
22,0.1068,0.7742
23,0.1192,0.7878
24,0.1105,0.7767
25,0.1047,0.7776
26,0.1041,0.7545
27,0.1091,0.8083
28,0.1073,0.7898
29,0.0991,0.7653
30,0.0981,0.7828
31,0.0981,0.7641
32,0.0901,0.8037
33,0.0931,0.7901
34,0.0915,0.7899
35,0.0956,0.8172
36,0.0927,0.7563
37,0.0894,0.7901
38,0.0883,0.7538
39,0.0857,0.759
40,0.0846,0.7645
