stem,n_obj,n_box,dice,hd95
SS22-02205^2022_01_12_09_37_05^^,3,3,0.8266,61.12
SS21-42826^2021_07_09_08_20_44^^,1,1,0.887,52.52
SS21-58881^2021_09_16_09_38_46^^,1,1,0.9007,73.41
SS22-49889^2022_08_09_08_33_37^^,3,3,0.8658,51.62
SS22-23641^2022_04_22_08_26_27^^,2,2,0.7982,38.04
SS23-61141^2023_09_13_08_18_40^^,2,2,0.9201,46.14
SS22-45604^2022_07_22_08_32_16^^,2,2,0.9551,87.57
SS21-42835^2021_07_09_08_52_52^^,3,3,0.5922,175.96
SS21-34765^2021_06_04_16_31_12^^,4,4,0.8746,42.98
SS21-53209^2021_08_24_11_13_46^^,2,2,0.9301,101.59
SS23-12955^2023_02_23_10_55_18^^,1,1,0.7278,65.9
SS23-45516^2023_07_12_13_22_41^^,1,1,0.8566,31.0
SS21-58163^2021_09_15_14_32_34^^,4,4,0.7982,51.11
SS23-49481^2023_07_27_11_51_58^^^copy,3,3,0.804,46.8
SS23-18116^2023_03_21_14_05_37^^,3,3,0.9392,68.45
SS21-37627^2021_06_17_14_40_39^^,1,1,0.8062,63.03
SS22-38394^2022_06_24_08_44_42^^,1,1,0.797,308.0
SS22-29126^2022_05_16_14_18_31^^,1,1,0.64,
SS22-04076^2022_01_19_13_16_26^^,2,2,0.9384,32.86
SS22-55042^2022_08_30_13_59_29^^,2,2,0.8236,59.31
SS23-04505^2023_01_19_10_29_57^^,1,1,0.9509,44.76
SS23-18073^2023_03_21_08_36_21^^,4,4,0.7993,84.04
SS23-12958^2023_02_23_09_42_23^^,2,2,0.5718,84.96
SS22-41080^2022_07_06_08_32_02^^,3,3,0.8545,165.19
SS23-19048^2023_03_23_14_21_11^^,4,4,0.7927,64.07
SS22-49101^2022_08_04_11_08_19^^,5,5,0.828,111.64
SS21-60615^2021_09_29_08_26_27^^,3,3,0.8849,175.72
SS21-60938^2021_09_30_08_16_32^^,2,2,0.7646,45.19
SS21-34765^2021_06_07_07_13_53^^,4,4,0.8493,42.02
SS22-17247^2022_03_24_10_01_53^^,1,1,0.823,178.01
SS22-49101^2022_08_04_11_08_31^^,6,6,0.8608,47.1
SS21-35913^2021_06_11_07_40_56^^,3,3,0.794,53.89
SS23-21408^2023_04_03_13_34_30^^,4,4,0.74,54.44
SS23-32996^2023_05_24_09_56_41^^,2,2,0.8642,73.41
SS22-41080^2022_07_06_09_05_49^^,6,6,0.8719,79.73
SS23-18116^2023_03_22_08_37_43^^,2,2,0.9064,67.82
SS21-39246^2021_06_25_08_31_34^^,1,1,0.9385,32.03
SS21-43481^2021_07_14_07_52_16^^,2,2,0.8368,74.76
SS23-23412^2023_04_11_09_56_13^^,1,1,0.9332,30.77
SS22-05400^2022_01_25_09_57_25^^,1,1,0.9219,92.88
SS21-38745^2021_06_22_15_45_07^^,1,1,0.9363,41.62
SS22-43857^2022_07_15_10_23_02^^,3,3,0.8196,121.44
SS21-42051^2021_07_07_08_33_55^^,1,1,0.9419,68.42
SS21-39090^2021_06_24_08_22_37^^,1,1,0.8507,227.84
SS21-37297^2021_06_17_08_30_20^^,1,1,0.8569,40.59
SS21-37293^2021_06_16_14_10_53^^,1,1,0.8727,123.23
SS21-35590^2021_06_09_10_24_16^^,2,2,0.9147,49.54
SS21-35425^2021_06_09_08_47_04^^,1,1,0.9092,61.62
SS21-41214^2021_07_05_07_36_15^^,2,2,0.8082,54.44
SS21-35590^2021_06_10_07_35_12^^,2,2,0.9121,60.38
