stem,n_comp,n_box,recall,seg_ceil,n_fp,auto_dice
SS22-02205^2022_01_12_09_37_05^^,3,5,1.0,0.8078,0,0.6592
SS22-49889^2022_08_09_08_33_37^^,3,6,0.6667,0.7871,0,0.7158
SS22-23641^2022_04_22_08_26_27^^,2,3,1.0,0.798,0,0.4551
SS23-61141^2023_09_13_08_18_40^^,2,3,1.0,0.9204,0,0.8496
SS22-45604^2022_07_22_08_32_16^^,2,8,1.0,0.955,0,0.7134
SS21-42835^2021_07_09_08_52_52^^,3,4,0.6667,0.6436,2,0.161
SS21-34765^2021_06_04_16_31_12^^,4,9,0.5,0.8733,0,0.5133
SS21-53209^2021_08_24_11_13_46^^,2,12,1.0,0.93,0,0.733
SS21-58163^2021_09_15_14_32_34^^,4,6,1.0,0.7323,2,0.3724
SS23-49481^2023_07_27_11_51_58^^^copy,3,3,0.3333,0.812,0,0.2789
SS23-18116^2023_03_21_14_05_37^^,3,9,0.6667,0.8659,0,0.8059
SS22-04076^2022_01_19_13_16_26^^,2,10,1.0,0.9381,0,0.7415
SS22-55042^2022_08_30_13_59_29^^,2,10,1.0,0.8269,1,0.3342
SS23-18073^2023_03_21_08_36_21^^,4,3,0.5,0.7292,0,0.6566
SS23-12958^2023_02_23_09_42_23^^,2,2,0.5,0.5267,0,0.1201
SS22-41080^2022_07_06_08_32_02^^,3,12,0.6667,0.8655,0,0.772
SS23-19048^2023_03_23_14_21_11^^,4,2,0.5,0.7661,0,0.2894
SS22-49101^2022_08_04_11_08_19^^,5,10,0.6,0.8427,0,0.4139
SS21-60615^2021_09_29_08_26_27^^,3,11,0.6667,0.8547,0,0.7823
SS21-60938^2021_09_30_08_16_32^^,2,2,0.5,0.7627,1,0.31
SS21-34765^2021_06_07_07_13_53^^,4,10,0.5,0.8324,0,0.5455
SS22-49101^2022_08_04_11_08_31^^,6,12,0.6667,0.845,0,0.4238
SS21-35913^2021_06_11_07_40_56^^,3,7,0.6667,0.8137,0,0.5623
SS23-21408^2023_04_03_13_34_30^^,4,3,0.25,0.7409,0,0.1763
SS23-32996^2023_05_24_09_56_41^^,2,7,1.0,0.7238,0,0.7549
SS22-41080^2022_07_06_09_05_49^^,6,6,0.6667,0.8731,0,0.602
SS23-18116^2023_03_22_08_37_43^^,2,8,1.0,0.893,0,0.7151
SS21-43481^2021_07_14_07_52_16^^,2,5,1.0,0.8108,1,0.226
SS22-43857^2022_07_15_10_23_02^^,3,6,1.0,0.8151,0,0.6465
SS21-35590^2021_06_09_10_24_16^^,2,9,1.0,0.9157,0,0.897
SS21-41214^2021_07_05_07_36_15^^,2,11,0.5,0.822,3,0.2107
SS21-35590^2021_06_10_07_35_12^^,2,8,1.0,0.9123,0,0.8293
