epoch,loss,alpha,val_dice
1,0.9655,0.99,0.6518
2,0.844,0.98,0.7523
3,0.7974,0.97,0.7917
4,0.7603,0.96,0.7906
5,0.7301,0.95,0.753
6,0.7101,0.94,0.8415
7,0.6673,0.93,0.8445
8,0.6179,0.92,0.8247
9,0.6131,0.91,0.8614
10,0.5873,0.9,0.8401
11,0.5845,0.89,0.8622
12,0.5621,0.88,0.8573
13,0.5359,0.87,0.8241
14,0.5385,0.86,0.8579
15,0.5391,0.85,0.8381
16,0.5268,0.84,0.8419
17,0.5105,0.83,0.8028
18,0.521,0.82,0.8519
19,0.5116,0.81,0.8474
20,0.5026,0.8,0.8485
21,0.4921,0.79,0.8459
22,0.4961,0.78,0.8055
23,0.4789,0.77,0.819
24,0.4917,0.76,0.8334
25,0.4718,0.75,0.8427
26,0.4636,0.74,0.8401
27,0.4774,0.73,0.8152
28,0.471,0.72,0.8327
29,0.4739,0.71,0.8261
30,0.4822,0.7,0.837
31,0.4716,0.7,0.8293
32,0.4703,0.7,0.8241
33,0.4762,0.7,0.8407
34,0.4599,0.7,0.8467
35,0.4473,0.7,0.8291
36,0.4438,0.7,0.8057
37,0.4453,0.7,0.8085
38,0.4509,0.7,0.8329
39,0.4492,0.7,0.8106
40,0.4337,0.7,0.8457
41,0.4362,0.7,0.8335
42,0.4345,0.7,0.847
43,0.4393,0.7,0.8391
44,0.4322,0.7,0.8352
45,0.4357,0.7,0.8363
46,0.4298,0.7,0.8304
47,0.4222,0.7,0.8347
48,0.4239,0.7,0.8379
49,0.4196,0.7,0.8336
50,0.4185,0.7,0.8405
51,0.4196,0.7,0.8289
52,0.4048,0.7,0.8157
53,0.4197,0.7,0.8224
54,0.4216,0.7,0.8259
55,0.4114,0.7,0.8273
56,0.4096,0.7,0.8256
57,0.4159,0.7,0.8302
58,0.4133,0.7,0.8294
59,0.4077,0.7,0.8286
60,0.4177,0.7,0.8286
