epoch,loss,val_dice
1,1.1557,0.4487
2,0.898,0.4542
3,0.8749,0.5027
4,0.8248,0.5168
5,0.8047,0.5205
6,0.7848,0.5175
7,0.754,0.5236
8,0.7345,0.4893
9,0.7148,0.5273
10,0.6999,0.499
11,0.7041,0.5371
12,0.6694,0.5233
13,0.6417,0.5234
14,0.6411,0.5379
15,0.6219,0.491
16,0.5965,0.5309
17,0.5769,0.505
18,0.5668,0.533
19,0.5585,0.5105
20,0.5328,0.519
21,0.5361,0.5062
22,0.499,0.5189
23,0.4922,0.5421
24,0.4612,0.515
25,0.4506,0.5191
26,0.4293,0.4611
27,0.4347,0.5148
28,0.397,0.526
29,0.3934,0.5047
30,0.4011,0.507
31,0.3621,0.4815
32,0.3592,0.5235
33,0.349,0.4794
34,0.3325,0.5041
35,0.3265,0.5003
36,0.3096,0.5133
37,0.3071,0.4643
38,0.2811,0.4948
39,0.2705,0.4943
40,0.2682,0.4703
41,0.2633,0.4934
42,0.247,0.4459
43,0.2563,0.4724
44,0.2528,0.5149
45,0.2409,0.4851
46,0.2386,0.4577
47,0.2328,0.4857
48,0.2234,0.4337
49,0.2117,0.448
50,0.1991,0.471
51,0.2111,0.4136
52,0.1951,0.4581
53,0.2032,0.4893
54,0.2029,0.4414
55,0.196,0.4522
56,0.1882,0.4153
57,0.1919,0.4495
58,0.1807,0.4534
59,0.1768,0.4687
60,0.1691,0.4397
61,0.1657,0.4533
62,0.1646,0.4574
63,0.1615,0.4269
64,0.1608,0.4261
65,0.1597,0.4345
66,0.1582,0.4584
67,0.1554,0.475
68,0.1457,0.4568
69,0.144,0.4228
70,0.1467,0.4486
71,0.1391,0.4505
72,0.1411,0.4891
73,0.1913,0.4557
74,0.1658,0.4822
75,0.1507,0.4562
76,0.146,0.4441
77,0.1242,0.3857
78,0.149,0.4054
79,0.1473,0.4188
80,0.1338,0.4571
